[01/01/09 01:33:07.336] log started
[01/01/09 01:33:07.336] 	[ BusInterface ]
[01/01/09 01:33:07.336] 	cycle = 100
[01/01/09 01:33:07.336] 	device = 0
[01/01/09 01:33:07.336] 	flags = ad_b_10_v,ai_rse
[01/01/09 01:33:07.336] 	href = cin_pci_2,cin_pci_2_skt
[01/01/09 01:33:07.336] 	interface = daq2005|daq2006|daq2010|daq2016|daq2204|daq2205|daq2206|daq2208|daq2213|daq2214|daq2501|daq2502|PIO_DA
[01/01/09 01:33:07.336] 	log:path = 
[01/01/09 01:33:07.336] 	log:size = 
[01/01/09 01:33:07.336] 	log:type = 
[01/01/09 01:33:07.336] 	name = Analog I/O Bus
[01/01/09 01:33:07.337] 	sym = bus_daq_1
[01/01/09 01:33:07.337] 	type = daq2213
[01/01/09 01:33:07.337] 	vendor = ICPDAS,Adlink
[01/01/09 01:33:07.337] tid = 6423
[01/01/09 01:33:07.337] init: lock started
[01/01/09 01:33:07.337] init: locked
[01/01/09 01:33:07.475] d2k-dask init: type=10 id=0
[01/01/09 01:33:07.475] d2k-dask setup: input channel 2, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 3, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 4, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 5, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 0, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.476] d2k-dask setup: input channel 1, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.476] init: unlocked
[01/01/09 01:33:17.853] inVoltage 5 => 4.238586
[01/01/09 01:33:17.974] inVoltage 2 => -0.008545
[01/01/09 01:33:17.974] inVoltage 3 => -0.010376
[01/01/09 01:33:17.974] inVoltage 4 => 4.240112
[01/01/09 01:33:17.974] inVoltage 5 => 4.238586
[01/01/09 01:33:18.096] inVoltage 2 => -0.003357
[01/01/09 01:33:18.097] inVoltage 3 => -0.011597
[01/01/09 01:33:18.097] inVoltage 4 => 4.237671
[01/01/09 01:33:18.097] inVoltage 5 => 4.235229
[01/01/09 01:33:18.217] inVoltage 2 => -0.007019
[01/01/09 01:33:18.217] inVoltage 3 => -0.006714
[01/01/09 01:33:18.217] inVoltage 4 => 4.237366
[01/01/09 01:33:18.217] inVoltage 5 => 4.236755
[01/01/09 01:33:18.337] inVoltage 2 => -0.007324
[01/01/09 01:33:18.337] inVoltage 3 => -0.013123
[01/01/09 01:33:18.337] inVoltage 4 => 4.238281
[01/01/09 01:33:18.338] inVoltage 5 => 4.239807
[01/01/09 01:33:18.458] inVoltage 2 => -0.007019
[01/01/09 01:33:18.458] inVoltage 3 => -0.012512
[01/01/09 01:33:18.458] inVoltage 4 => 4.231262
[01/01/09 01:33:18.458] inVoltage 5 => 4.237366
[01/01/09 01:33:18.578] inVoltage 2 => -0.007324
[01/01/09 01:33:18.578] inVoltage 3 => -0.014038
[01/01/09 01:33:18.578] inVoltage 4 => 4.237366
[01/01/09 01:33:18.578] inVoltage 5 => 4.237671
[01/01/09 01:33:18.699] inVoltage 2 => -0.003662
[01/01/09 01:33:18.699] inVoltage 3 => -0.008850
[01/01/09 01:33:18.699] inVoltage 4 => 4.237061
[01/01/09 01:33:18.699] inVoltage 5 => 4.239807
[01/01/09 01:33:18.819] inVoltage 2 => -0.010071
[01/01/09 01:33:18.820] inVoltage 3 => -0.007629
[01/01/09 01:33:18.820] inVoltage 4 => 4.237061
[01/01/09 01:33:18.820] inVoltage 5 => 4.239197
