[01/01/09 01:30:23.971] log started
[01/01/09 01:30:23.971] 	[ BusInterface ]
[01/01/09 01:30:23.971] 	cycle = 100
[01/01/09 01:30:23.971] 	device = 0
[01/01/09 01:30:23.971] 	flags = ad_b_10_v,ai_rse
[01/01/09 01:30:23.972] 	href = cin_pci_2,cin_pci_2_skt
[01/01/09 01:30:23.972] 	interface = daq2005|daq2006|daq2010|daq2016|daq2204|daq2205|daq2206|daq2208|daq2213|daq2214|daq2501|daq2502|PIO_DA
[01/01/09 01:30:23.972] 	log:path = 
[01/01/09 01:30:23.972] 	log:size = 
[01/01/09 01:30:23.972] 	log:type = 
[01/01/09 01:30:23.972] 	name = Analog I/O Bus
[01/01/09 01:30:23.972] 	sym = bus_daq_1
[01/01/09 01:30:23.972] 	type = daq2213
[01/01/09 01:30:23.972] 	vendor = ICPDAS,Adlink
[01/01/09 01:30:23.972] tid = 4221
[01/01/09 01:30:23.972] init: lock started
[01/01/09 01:30:23.972] init: locked
[01/01/09 01:30:24.108] d2k-dask init: type=10 id=0
[01/01/09 01:30:24.108] d2k-dask setup: input channel 2, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.108] d2k-dask setup: input channel 3, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.108] d2k-dask setup: input channel 4, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 5, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 0, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 1, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] init: unlocked
[01/01/09 01:30:30.498] inVoltage 3 => -0.005798
[01/01/09 01:30:30.498] inVoltage 4 => 4.240417
[01/01/09 01:30:30.498] inVoltage 5 => 4.243164
[01/01/09 01:30:30.618] inVoltage 2 => -0.002441
[01/01/09 01:30:30.618] inVoltage 3 => -0.004883
[01/01/09 01:30:30.618] inVoltage 4 => 4.240723
[01/01/09 01:30:30.618] inVoltage 5 => 4.241638
[01/01/09 01:30:30.738] inVoltage 2 => -0.002136
[01/01/09 01:30:30.738] inVoltage 3 => -0.007019
[01/01/09 01:30:30.738] inVoltage 4 => 4.242249
[01/01/09 01:30:30.738] inVoltage 5 => 4.240723
[01/01/09 01:30:30.858] inVoltage 2 => -0.001221
[01/01/09 01:30:30.858] inVoltage 3 => -0.007629
[01/01/09 01:30:30.859] inVoltage 4 => 4.242554
[01/01/09 01:30:30.859] inVoltage 5 => 4.243164
[01/01/09 01:30:30.979] inVoltage 2 => -0.006714
[01/01/09 01:30:30.979] inVoltage 3 => -0.009766
[01/01/09 01:30:30.979] inVoltage 4 => 4.240723
[01/01/09 01:30:30.979] inVoltage 5 => 4.240112
[01/01/09 01:30:31.099] inVoltage 2 => 0.000000
[01/01/09 01:30:31.099] inVoltage 3 => -0.008850
[01/01/09 01:30:31.100] inVoltage 4 => 4.239197
[01/01/09 01:30:31.100] inVoltage 5 => 4.240112
[01/01/09 01:30:31.220] inVoltage 2 => -0.003662
[01/01/09 01:30:31.220] inVoltage 3 => -0.007935
[01/01/09 01:30:31.220] inVoltage 4 => 4.242249
[01/01/09 01:30:31.220] inVoltage 5 => 4.239807
[01/01/09 01:30:31.341] inVoltage 2 => -0.001831
[01/01/09 01:30:31.341] inVoltage 3 => -0.007324
[01/01/09 01:30:31.341] inVoltage 4 => 4.239807
[01/01/09 01:30:31.341] inVoltage 5 => 4.241943
[01/01/09 01:30:31.462] inVoltage 2 => -0.000610
[01/01/09 01:30:31.462] inVoltage 3 => -0.010681
[01/01/09 01:30:31.462] inVoltage 4 => 4.238892
[01/01/09 01:30:31.463] inVoltage 5 => 4.238281
[01/01/09 01:30:31.582] inVoltage 2 => -0.004578
[01/01/09 01:30:31.582] inVoltage 3 => -0.006409
[01/01/09 01:30:31.582] inVoltage 4 => 4.241943
[01/01/09 01:30:31.583] inVoltage 5 => 4.239502
[01/01/09 01:30:31.703] inVoltage 2 => -0.001526
[01/01/09 01:30:31.703] inVoltage 3 => -0.006714
[01/01/09 01:30:31.703] inVoltage 4 => 4.233704
[01/01/09 01:30:31.703] inVoltage 5 => 4.240417
[01/01/09 01:30:31.824] inVoltage 2 => -0.003052
[01/01/09 01:30:31.824] inVoltage 3 => -0.009155
[01/01/09 01:30:31.824] inVoltage 4 => 4.240112
[01/01/09 01:30:31.825] inVoltage 5 => 4.242554
[01/01/09 01:30:31.944] inVoltage 2 => -0.001221
[01/01/09 01:30:31.944] inVoltage 3 => -0.007935
[01/01/09 01:30:31.945] inVoltage 4 => 4.238281
[01/01/09 01:30:31.945] inVoltage 5 => 4.241333
[01/01/09 01:30:32.064] inVoltage 2 => -0.002441
[01/01/09 01:30:32.065] inVoltage 3 => -0.005188
[01/01/09 01:30:32.065] inVoltage 4 => 4.240723
[01/01/09 01:30:32.065] inVoltage 5 => 4.243164
[01/01/09 01:30:32.184] inVoltage 2 => -0.003357
[01/01/09 01:30:32.185] inVoltage 3 => -0.006104
[01/01/09 01:30:32.185] inVoltage 4 => 4.240723
[01/01/09 01:30:32.185] inVoltage 5 => 4.241333
[01/01/09 01:30:32.306] inVoltage 2 => -0.001831
[01/01/09 01:30:32.306] inVoltage 3 => -0.004272
[01/01/09 01:30:32.306] inVoltage 4 => 4.241028
[01/01/09 01:30:32.306] inVoltage 5 => 4.241028
[01/01/09 01:30:32.425] inVoltage 2 => -0.003662
[01/01/09 01:30:32.425] inVoltage 3 => -0.008850
[01/01/09 01:30:32.425] inVoltage 4 => 4.241333
[01/01/09 01:30:32.426] inVoltage 5 => 4.241333
[01/01/09 01:30:32.545] inVoltage 2 => -0.003967
[01/01/09 01:30:32.545] inVoltage 3 => -0.005188
[01/01/09 01:30:32.546] inVoltage 4 => 4.242554
[01/01/09 01:30:32.546] inVoltage 5 => 4.240112
[01/01/09 01:30:32.666] inVoltage 2 => -0.002441
[01/01/09 01:30:32.666] inVoltage 3 => -0.009155
[01/01/09 01:30:32.666] inVoltage 4 => 4.242249
[01/01/09 01:30:32.666] inVoltage 5 => 4.241333
